State,County,Black,Latino,Native American,White
Louisiana,Acadia  ,18.3,2,0.3,78.1
Louisiana,Allen  ,23.2,1.7,2.6,70.6
Louisiana,Ascension  ,22.8,5,0.4,70
Louisiana,Assumption  ,29.8,2.3,0.6,66.5
Louisiana,Avoyelles  ,29.5,1.7,1.3,66
Louisiana,Beauregard  ,13.3,3.5,1.2,79.5
Louisiana,Bienville  ,42.2,1.7,0.3,54.6
Louisiana,Bossier  ,21.4,6.3,0.7,68.4
Louisiana,Caddo  ,48,2.7,0.5,46.7
Louisiana,Calcasieu  ,25.2,2.9,0.6,68.9
Louisiana,Caldwell  ,17.1,2.7,0.3,78.9
Louisiana,Cameron  ,2.1,3.2,0.6,93.1
Louisiana,Catahoula  ,31.8,1.2,0.4,65.8
Louisiana,Claiborne  ,50.7,1.4,0.5,46.3
Louisiana,Concordia  ,40.4,1.2,0.4,57.1
Louisiana,De Soto  ,38.1,2.6,1.1,57.4
Louisiana,East Baton Rouge  ,46,3.9,0.3,45.9
Louisiana,East Carroll  ,68,2,0.3,28.9
Louisiana,East Feliciana  ,44.4,1.3,0.4,52.6
Louisiana,Evangeline  ,28.5,2.3,0.3,67.8
Louisiana,Franklin  ,31.6,1.3,0.2,66
Louisiana,Grant  ,15.7,4.5,1.1,77.1
Louisiana,Iberia  ,32.3,3.6,0.5,60
Louisiana,Iberville  ,48.7,2.4,0.2,48
Louisiana,Jackson  ,29.3,1.5,0.3,67.5
Louisiana,Jefferson Davis  ,17.1,2,0.7,78.4
Louisiana,Jefferson  ,27,13.4,0.6,54.7
Louisiana,La Salle  ,12.3,2.5,1.2,83.2
Louisiana,Lafayette  ,26.1,4.3,0.4,66.7
Louisiana,Lafourche  ,13.5,4.2,2.9,77.2
Louisiana,Lincoln  ,41.4,2.7,0.4,53
Louisiana,Livingston  ,6,3.3,0.5,88.8
Louisiana,Madison  ,62.2,1.7,0.2,35.1
Louisiana,Morehouse  ,47.8,1.3,0.2,49.8
Louisiana,Natchitoches  ,41.4,2.1,1,53.4
Louisiana,Orleans  ,60.1,5.5,0.4,31
Louisiana,Ouachita  ,37.1,2.1,0.3,58.7
Louisiana,Plaquemines  ,20.2,6.2,1.8,66.8
Louisiana,Pointe Coupee  ,35.6,2.4,0.3,60.8
Louisiana,Rapides  ,32,2.8,0.9,61.8
Louisiana,Red River  ,39.4,1.3,0.4,58.1
Louisiana,Richland  ,35.9,2.1,0.4,60.9
Louisiana,Sabine  ,16.8,3.6,8.7,68.5
Louisiana,St. Bernard  ,21.5,9.7,0.8,64.7
Louisiana,St. Charles  ,26.4,5.7,0.4,65.8
Louisiana,St. Helena  ,53,1.4,0.4,44.4
Louisiana,St. James  ,49.4,1.7,0.2,48
Louisiana,St. John the Baptist  ,54.9,5.2,0.4,38.5
Louisiana,St. Landry  ,41.3,1.8,0.4,55.4
Louisiana,St. Martin  ,30.7,2.4,0.5,64.8
Louisiana,St. Mary  ,32.7,6.2,1.9,56.7
Louisiana,St. Tammany  ,12,5.2,0.6,79.7
Louisiana,Tangipahoa  ,30.3,3.8,0.4,64
Louisiana,Tensas  ,54.8,1.8,0.1,42.3
Louisiana,Terrebonne  ,18.9,4.5,5.7,68.1
Louisiana,Union  ,26.4,4.3,0.4,68.6
Louisiana,Vermilion  ,14.8,3,0.4,78.6
Louisiana,Vernon  ,14.7,9.2,1.6,70.4
Louisiana,Washington  ,30.3,2.1,0.4,66.1
Louisiana,Webster  ,33.8,1.8,0.5,62.6
Louisiana,West Baton Rouge  ,37.9,2.7,0.2,57.9
Louisiana,West Carroll  ,15.9,2.7,0.6,79.9
Louisiana,West Feliciana  ,45.9,1.4,0.1,51.8
Louisiana,Winn  ,30.5,1.7,0.7,65.7
