State,Year,County,Processed,Approved,Denied,Non_Processed,Denied_HIC,Num_Paid,Total_Paid ,Avg_Paid,Funeral_Payout,Murder_Claims
Texas,2015,Anderson,21,,4,,,15,"$111,193.51","$7,412.90",,
Texas,2015,Andrews,3,,0,,,5,"$24,948.47","$4,989.69",,
Texas,2015,Angelina,33,,4,,,28,"$37,562.70","$1,341.53",,
Texas,2015,Aransas,15,,4,,,8,"$24,449.35","$3,056.17",,
Texas,2015,Archer,3,,1,,,2,"$6,712.87","$3,356.44",,
Texas,2015,Armstrong,0,,0,,,0,$0.00,$0.00,,
Texas,2015,Atascosa,35,,7,,,23,"$128,232.96","$5,575.35",,
Texas,2015,Austin,28,,4,,,21,"$22,141.37","$1,054.35",,
Texas,2015,Bailey,5,,1,,,4,"$12,481.84","$3,120.46",,
Texas,2015,Bandera,7,,1,,,5,"$21,235.75","$4,247.15",,
Texas,2015,Bastrop,43,,3,,,33,"$111,936.88","$3,392.03",,
Texas,2015,Baylor,0,,0,,,0,$0.00,$0.00,,
Texas,2015,Bee,20,,4,,,14,"$23,860.30","$1,704.31",,
Texas,2015,Bell,434,,63,,,334,"$555,868.69","$1,664.28",,
Texas,2015,Bexar,"1,905",,546,,,"1,127","$3,941,015.90","$3,496.91",,
Texas,2015,Blanco,8,,1,,,4,"$11,742.99","$2,935.75",,
Texas,2015,Borden,1,,1,,,0,$0.00,#DIV/0!,,
Texas,2015,Bosque,5,,1,,,3,"$7,610.23","$2,536.74",,
Texas,2015,Bowie,46,,10,,,33,"$105,724.85","$3,203.78",,
Texas,2015,Brazoria,163,,26,,,114,"$457,616.57","$4,014.18",,
Texas,2015,Brazos,129,,17,,,97,"$186,504.64","$1,922.73",,
Texas,2015,Brewster,14,,4,,,10,"$32,911.05","$3,291.11",,
Texas,2015,Briscoe,0,,0,,,1,$0.00,$0.00,,
Texas,2015,Brooks,2,,0,,,2,"$11,723.11","$5,861.56",,
Texas,2015,Brown,23,,1,,,14,"$34,680.89","$2,477.21",,
Texas,2015,Burleson,6,,1,,,2,"$31,993.72","$15,996.86",,
Texas,2015,Burnet,49,,10,,,29,"$106,205.42","$3,662.26",,
Texas,2015,Caldwell,40,,5,,,30,"$54,634.51","$1,821.15",,
Texas,2015,Calhoun,12,,4,,,8,"$2,556.94",$319.62,,
Texas,2015,Callahan,4,,0,,,4,"$15,796.56","$3,949.14",,
Texas,2015,Cameron,384,,67,,,288,"$420,227.99","$1,459.12",,
Texas,2015,Camp,13,,2,,,12,"$18,917.62","$1,576.47",,
Texas,2015,Carson,3,,1,,,2,"$27,210.87","$13,605.44",,
Texas,2015,Cass,25,,7,,,18,"$102,982.86","$5,721.27",,
Texas,2015,Castro,1,,1,,,0,$0.00,#DIV/0!,,
Texas,2015,Chambers,48,,4,,,37,"$125,596.37","$3,394.50",,
Texas,2015,Cherokee,29,,7,,,18,"$76,238.84","$4,235.49",,
Texas,2015,Childress,1,,1,,,0,$0.00,#DIV/0!,,
Texas,2015,Clay,2,,0,,,2,"$17,261.31","$8,630.66",,
Texas,2015,Cochran,0,,0,,,0,$0.00,#DIV/0!,,
Texas,2015,Coke,2,,0,,,2,"$4,500.00","$2,250.00",,
Texas,2015,Coleman,7,,0,,,5,"$2,854.71",$570.94,,
Texas,2015,Collin,315,,54,,,241,"$459,402.85","$1,906.24",,
Texas,2015,Collingsworth,3,,0,,,3,"$8,846.96","$2,948.99",,
Texas,2015,Colorado,15,,2,,,12,"$8,301.36",$691.78,,
Texas,2015,Comal,66,,18,,,41,"$107,836.94","$2,630.17",,
Texas,2015,Comanche,9,,3,,,6,"$41,417.21","$6,902.87",,
Texas,2015,Concho,1,,0,,,1,"$9,279.38","$9,279.38",,
Texas,2015,Cooke,39,,11,,,25,"$123,955.74","$4,958.23",,
Texas,2015,Coryell,49,,5,,,36,"$58,968.70","$1,638.02",,
Texas,2015,Cottle,1,,0,,,1,$0.00,$0.00,,
Texas,2015,Crane,1,,0,,,1,$0.00,$0.00,,
Texas,2015,Crockett,2,,0,,,1,"$6,295.29","$6,295.29",,
Texas,2015,Crosby,8,,0,,,7,"$4,487.70",$641.10,,
Texas,2015,Culberson,0,,0,,,0,"$10,588.16",#DIV/0!,,
Texas,2015,Dallam,4,,1,,,3,"$7,151.99","$2,384.00",,
Texas,2015,Dallas,"3,013",,740,,,"1,959","$6,867,604.85","$3,505.67",,
Texas,2015,Dawson,3,,1,,,2,$382.67,$191.34,,
Texas,2015,Deaf Smith,26,,1,,,23,"$69,917.85","$3,039.91",,
Texas,2015,Delta,5,,2,,,2,$188.64,$94.32,,
Texas,2015,Denton,308,,53,,,236,"$564,351.79","$2,391.32",,
Texas,2015,Dewitt,9,,1,,,7,"$21,299.01","$3,042.72",,
Texas,2015,Dickens,1,,1,,,0,$0.00,#DIV/0!,,
Texas,2015,Dimmit,9,,3,,,3,"$8,744.14","$2,914.71",,
Texas,2015,Donley,8,,0,,,5,"$8,322.37","$1,664.47",,
Texas,2015,Duval,10,,1,,,10,"$31,889.11","$3,188.91",,
Texas,2015,Eastland,8,,0,,,6,"$32,123.85","$5,353.98",,
Texas,2015,Ector,133,,31,,,88,"$432,718.34","$4,917.25",,
Texas,2015,Edwards,1,,0,,,1,$0.00,$0.00,,
Texas,2015,Ellis,70,,16,,,46,"$199,429.89","$4,335.43",,
Texas,2015,El Paso,"1,349",,351,,,931,"$2,377,391.89","$2,553.59",,
Texas,2015,Erath,18,,2,,,13,"$28,774.64","$2,213.43",,
Texas,2015,Falls,15,,2,,,11,"$25,279.13","$2,298.10",,
Texas,2015,Fannin,14,,1,,,13,"$28,214.18","$2,170.32",,
Texas,2015,Fayette,9,,0,,,7,"$8,573.92","$1,224.85",,
Texas,2015,Fisher,3,,0,,,3,"$6,831.85","$2,277.28",,
Texas,2015,Floyd,3,,1,,,2,"$1,120.85",$560.43,,
Texas,2015,Foard,1,,1,,,0,"$115,613.46",#DIV/0!,,
Texas,2015,Fort Bend,325,,51,,,252,"$439,509.92","$1,744.09",,
Texas,2015,Franklin,12,,1,,,8,"$16,775.69","$2,096.96",,
Texas,2015,Freestone,9,,0,,,9,"$5,455.39",$606.15,,
Texas,2015,Frio,29,,8,,,15,"$6,970.58",$464.71,,
Texas,2015,Gaines,2,,1,,,2,"$51,850.42","$25,925.21",,
Texas,2015,Galveston,399,,64,,,292,"$562,657.62","$1,926.91",,
Texas,2015,Garza,1,,0,,,1,$225.00,$225.00,,
Texas,2015,Gillespie,10,,3,,,8,"$24,847.65","$3,105.96",,
Texas,2015,Glasscock,0,,0,,,0,"$25,238.92",#DIV/0!,,
Texas,2015,Goliad,3,,0,,,3,"$4,900.00","$1,633.33",,
Texas,2015,Gonzales,25,,1,,,18,"$10,919.75",$606.65,,
Texas,2015,Gray,29,,4,,,17,"$53,204.34","$3,129.67",,
Texas,2015,Grayson,70,,5,,,51,"$103,577.00","$2,030.92",,
Texas,2015,Gregg,103,,18,,,70,"$218,115.53","$3,115.94",,
Texas,2015,Grimes,23,,4,,,18,"$50,556.71","$2,808.71",,
Texas,2015,Guadalupe,93,,15,,,66,"$180,103.82","$2,728.85",,
Texas,2015,Hale,26,,5,,,12,"$3,616.54",$301.38,,
Texas,2015,Hall,2,,0,,,2,"$2,790.80","$1,395.40",,
Texas,2015,Hamilton,2,,0,,,2,"$13,921.91","$6,960.96",,
Texas,2015,Hansford,3,,0,,,4,$0.00,$0.00,,
Texas,2015,Hardeman,3,,1,,,2,$0.00,$0.00,,
Texas,2015,Hardin,35,,2,,,27,"$113,387.14","$4,199.52",,
Texas,2015,Harris,"3,953",,826,,,"2,683","$14,171,685.55","$5,282.03",,
Texas,2015,Harrison,25,,3,,,19,"$68,524.60","$3,606.56",,
Texas,2015,Hartley,1,,0,,,1,$420.07,$420.07,,
Texas,2015,Haskell,3,,0,,,3,$315.20,$105.07,,
Texas,2015,Hays,162,,28,,,118,"$257,758.27","$2,184.39",,
Texas,2015,Hemphill,2,,0,,,2,"$14,912.77","$7,456.39",,
Texas,2015,Henderson,28,,5,,,21,"$77,010.94","$3,667.19",,
Texas,2015,Hidalgo,"1,030",,214,,,721,"$1,884,284.40","$2,613.43",,
Texas,2015,Hill,25,,3,,,22,"$62,105.66","$2,822.98",,
Texas,2015,Hockley,6,,0,,,5,"$51,216.94","$10,243.39",,
Texas,2015,Hood,27,,3,,,18,"$64,452.95","$3,580.72",,
Texas,2015,Hopkins,48,,9,,,31,"$19,393.89",$625.61,,
Texas,2015,Houston,25,,1,,,21,"$40,969.12","$1,950.91",,
Texas,2015,Howard,17,,2,,,14,"$104,057.66","$7,432.69",,
Texas,2015,Hudspeth,2,,0,,,2,$0.00,$0.00,,
Texas,2015,Hunt,56,,9,,,41,"$158,249.34","$3,859.74",,
Texas,2015,Hutchinson,19,,5,,,10,"$30,051.43","$3,005.14",,
Texas,2015,Irion,1,,0,,,1,$0.00,$0.00,,
Texas,2015,Jack,8,,1,,,6,"$23,555.10","$3,925.85",,
Texas,2015,Jackson,6,,2,,,4,$175.21,$43.80,,
Texas,2015,Jasper,16,,4,,,11,"$135,073.67","$12,279.42",,
Texas,2015,Jeff Davis,3,,0,,,1,$0.00,$0.00,,
Texas,2015,Jefferson,296,,58,,,209,"$861,313.56","$4,121.12",,
Texas,2015,Jim Hogg,3,,1,,,2,"$26,697.18","$13,348.59",,
Texas,2015,Jim Wells,11,,3,,,6,"$53,006.19","$8,834.37",,
Texas,2015,Johnson,74,,9,,,58,"$216,631.58","$3,735.03",,
Texas,2015,Jones,8,,2,,,5,"$9,010.63","$1,802.13",,
Texas,2015,Karnes,12,,2,,,8,$873.20,$109.15,,
Texas,2015,Kaufman,69,,7,,,54,"$113,375.54","$2,099.55",,
Texas,2015,Kendall,12,,6,,,4,"$8,235.86","$2,058.97",,
Texas,2015,Kenedy,1,,1,,,0,$0.00,#DIV/0!,,
Texas,2015,Kent,1,,0,,,1,$0.00,$0.00,,
Texas,2015,Kerr,39,,3,,,34,"$161,288.19","$4,743.77",,
Texas,2015,Kimble,4,,1,,,3,"$3,454.11","$1,151.37",,
Texas,2015,King,0,,0,,,0,$0.00,#DIV/0!,,
Texas,2015,Kinney,4,,0,,,1,$80.07,$80.07,,
Texas,2015,Kleberg,11,,2,,,8,"$45,941.40","$5,742.68",,
Texas,2015,Knox,1,,1,,,0,"$3,036.52",#DIV/0!,,
Texas,2015,La Salle,44,,7,,,34,"$81,635.07","$2,401.03",,
Texas,2015,Lamar,10,,2,,,7,"$10,608.50","$1,515.50",,
Texas,2015,Lamb,6,,0,,,5,"$5,342.85","$1,068.57",,
Texas,2015,Lampasas,7,,1,,,4,$0.00,$0.00,,
Texas,2015,Lavaca,14,,3,,,12,"$66,866.96","$5,572.25",,
Texas,2015,Lee,8,,2,,,6,"$18,886.13","$3,147.69",,
Texas,2015,Leon,6,,0,,,3,"$32,798.49","$10,932.83",,
Texas,2015,Liberty,51,,12,,,33,"$147,896.94","$4,481.73",,
Texas,2015,Limestone,30,,3,,,21,"$119,851.59","$5,707.22",,
Texas,2015,Lipscomb,1,,1,,,0,$0.00,#DIV/0!,,
Texas,2015,Live Oak,7,,2,,,6,"$25,734.33","$4,289.06",,
Texas,2015,Llano,16,,3,,,12,"$30,344.71","$2,528.73",,
Texas,2015,Loving,0,,0,,,0,"$1,387.97",#DIV/0!,,
Texas,2015,Lubbock,164,,27,,,122,"$517,318.22","$4,240.31",,
Texas,2015,Lynn,1,,0,,,2,"$69,446.66","$34,723.33",,
Texas,2015,Madison,15,,1,,,8,"$3,400.79",$425.10,,
Texas,2015,Marion,7,,2,,,5,"$4,749.82",$949.96,,
Texas,2015,Martin,5,,0,,,3,"$2,099.75",$699.92,,
Texas,2015,Mason,4,,1,,,3,$357.18,$119.06,,
Texas,2015,Matagorda,41,,5,,,38,"$85,554.45","$2,251.43",,
Texas,2015,Maverick,28,,5,,,9,"$164,520.47","$18,280.05",,
Texas,2015,Mcculloch,9,,0,,,8,"$61,977.39","$7,747.17",,
Texas,2015,Mclennan,200,,33,,,136,"$309,911.17","$2,278.76",,
Texas,2015,Mcmullen,1,,0,,,1,$95.00,$95.00,,
Texas,2015,Medina,24,,5,,,13,"$48,641.12","$3,741.62",,
Texas,2015,Menard,1,,0,,,1,"$6,222.02","$6,222.02",,
Texas,2015,Midland,139,,16,,,99,"$216,125.89","$2,183.09",,
Texas,2015,Milam,26,,3,,,24,"$46,906.05","$1,954.42",,
Texas,2015,Mills,3,,0,,,3,"$13,828.32","$4,609.44",,
Texas,2015,Mitchell,4,,1,,,3,"$16,356.45","$5,452.15",,
Texas,2015,Montague,10,,2,,,9,"$4,278.69",$475.41,,
Texas,2015,Montgomery,236,,35,,,174,"$394,126.20","$2,265.09",,
Texas,2015,Moore,25,,2,,,20,"$84,547.06","$4,227.35",,
Texas,2015,Morris,10,,2,,,6,"$21,984.35","$3,664.06",,
Texas,2015,Motley,1,,0,,,0,$0.00,#DIV/0!,,
Texas,2015,Nacogdoches,42,,9,,,31,"$129,214.49","$4,168.21",,
Texas,2015,Navarro,64,,9,,,46,"$55,908.08","$1,215.39",,
Texas,2015,Newton,8,,0,,,5,"$23,534.16","$4,706.83",,
Texas,2015,Nolan,13,,0,,,11,"$61,519.54","$5,592.69",,
Texas,2015,Nueces,556,,84,,,425,"$884,971.96","$2,082.29",,
Texas,2015,Ochiltree,2,,0,,,1,"$1,243.15","$1,243.15",,
Texas,2015,Oldham,1,,0,,,0,$133.86,#DIV/0!,,
Texas,2015,Orange,39,,11,,,21,"$97,579.30","$4,646.63",,
Texas,2015,Palo Pinto,24,,2,,,21,"$52,361.04","$2,493.38",,
Texas,2015,Panola,16,,0,,,12,"$27,975.39","$2,331.28",,
Texas,2015,Parker,52,,7,,,42,"$220,546.91","$5,251.12",,
Texas,2015,Parmer,8,,1,,,4,"$11,309.68","$2,827.42",,
Texas,2015,Pecos,10,,4,,,4,"$49,973.15","$12,493.29",,
Texas,2015,Polk,44,,10,,,30,"$54,072.23","$1,802.41",,
Texas,2015,Potter,444,,78,,,334,"$773,181.21","$2,314.91",,
Texas,2015,Presidio,2,,1,,,1,$775.00,$775.00,,
Texas,2015,Rains,6,,1,,,6,"$13,912.18","$2,318.70",,
Texas,2015,Randall,72,,13,,,52,"$108,335.15","$2,083.37",,
Texas,2015,Reagan,1,,1,,,0,$0.00,#DIV/0!,,
Texas,2015,Real,0,,0,,,0,"$3,028.36",#DIV/0!,,
Texas,2015,Red River,6,,1,,,4,"$7,650.00","$1,912.50",,
Texas,2015,Reeves,5,,2,,,1,"$29,687.20","$29,687.20",,
Texas,2015,Refugio,3,,1,,,2,"$14,796.26","$7,398.13",,
Texas,2015,Roberts,1,,0,,,1,"$2,200.22","$2,200.22",,
Texas,2015,Robertson,27,,6,,,19,"$27,127.82","$1,427.78",,
Texas,2015,Rockwall,21,,2,,,18,"$37,759.72","$2,097.76",,
Texas,2015,Runnels,3,,2,,,1,"$17,058.30","$17,058.30",,
Texas,2015,Rusk,44,,10,,,19,"$65,181.80","$3,430.62",,
Texas,2015,Sabine,4,,0,,,4,"$37,997.50","$9,499.38",,
Texas,2015,San Augustine,4,,0,,,2,"$6,019.11","$3,009.56",,
Texas,2015,San Jacinto,11,,2,,,9,"$81,745.58","$9,082.84",,
Texas,2015,San Patricio,28,,4,,,24,"$26,474.85","$1,103.12",,
Texas,2015,San Saba,5,,0,,,6,$246.06,$41.01,,
Texas,2015,Schleicher,2,,0,,,2,$221.20,$110.60,,
Texas,2015,Scurry,8,,3,,,4,"$44,130.83","$11,032.71",,
Texas,2015,Shackelford,3,,0,,,2,"$5,200.00","$2,600.00",,
Texas,2015,Shelby,21,,0,,,13,"$56,001.53","$4,307.81",,
Texas,2015,Sherman,5,,0,,,5,"$20,078.86","$4,015.77",,
Texas,2015,Smith,93,,22,,,61,"$213,766.10","$3,504.36",,
Texas,2015,Somervell,6,,0,,,5,"$6,955.23","$1,391.05",,
Texas,2015,Starr,39,,8,,,27,"$69,937.83","$2,590.29",,
Texas,2015,Stephens,8,,1,,,7,"$18,430.65","$2,632.95",,
Texas,2015,Sterling,1,,0,,,0,$228.74,#DIV/0!,,
Texas,2015,Stonewall,0,,0,,,0,$0.00,#DIV/0!,,
Texas,2015,Sutton,0,,0,,,0,"$4,795.19",#DIV/0!,,
Texas,2015,Swisher,2,,1,,,1,$0.00,$0.00,,
Texas,2015,Tarrant,"1,682",,311,,,"1,241","$4,071,284.95","$3,280.65",,
Texas,2015,Taylor,94,,18,,,64,"$278,870.00","$4,357.34",,
Texas,2015,Terrell,0,,0,,,0,$0.00,#DIV/0!,,
Texas,2015,Terry,21,,1,,,16,"$7,841.28",$490.08,,
Texas,2015,Throckmorton,1,,0,,,1,$858.37,$858.37,,
Texas,2015,Titus,19,,5,,,15,"$51,631.03","$3,442.07",,
Texas,2015,Tom Green,121,,22,,,93,"$376,764.06","$4,051.23",,
Texas,2015,Travis,"1,391",,239,,,"1,040","$2,659,581.13","$2,557.29",,
Texas,2015,Trinity,5,,2,,,1,"$16,856.16","$16,856.16",,
Texas,2015,Tyler,10,,0,,,9,"$5,206.53",$578.50,,
Texas,2015,Upshur,50,,5,,,38,"$20,114.44",$529.33,,
Texas,2015,Upton,2,,0,,,0,"$4,337.50",#DIV/0!,,
Texas,2015,Uvalde,22,,6,,,13,"$140,149.15","$10,780.70",,
Texas,2015,Val Verde,26,,4,,,15,"$48,682.06","$3,245.47",,
Texas,2015,Van Zandt,29,,5,,,19,"$24,685.99","$1,299.26",,
Texas,2015,Victoria,57,,12,,,46,"$154,018.07","$3,348.22",,
Texas,2015,Walker,75,,7,,,61,"$120,028.95","$1,967.69",,
Texas,2015,Waller,31,,7,,,20,"$16,609.15",$830.46,,
Texas,2015,Ward,5,,1,,,1,"$10,847.47","$10,847.47",,
Texas,2015,Washington,14,,1,,,11,"$24,888.47","$2,262.59",,
Texas,2015,Webb,189,,36,,,108,"$662,850.02","$6,137.50",,
Texas,2015,Wharton,30,,5,,,23,"$154,796.09","$6,730.26",,
Texas,2015,Wheeler,3,,0,,,3,$74.33,$24.78,,
Texas,2015,Wichita,62,,21,,,34,"$283,587.94","$8,340.82",,
Texas,2015,Wilbarger,4,,1,,,3,"$2,552.73",$850.91,,
Texas,2015,Willacy,9,,3,,,7,"$12,620.52","$1,802.93",,
Texas,2015,Williamson,219,,28,,,176,"$346,307.46","$1,967.66",,
Texas,2015,Wilson,29,,2,,,14,"$87,746.17","$6,267.58",,
Texas,2015,Winkler,6,,1,,,4,$0.00,$0.00,,
Texas,2015,Wise,39,,3,,,31,"$37,436.44","$1,207.63",,
Texas,2015,Wood,27,,2,,,21,"$186,081.39","$8,861.02",,
Texas,2015,Yoakum,3,,0,,,3,"$5,149.00","$1,716.33",,
Texas,2015,Young,9,,0,,,9,"$13,990.49","$1,554.50",,
Texas,2015,Zapata,7,,0,,,4,"$2,838.07",$709.52,,
Texas,2015,Zavala,5,,2,,,1,"$12,475.59","$12,475.59",,
Texas,2015,Out Of State,201,,67,,,24,"$93,889.82","$3,912.08",,
Texas,2015,No County,60,,0,,,0,$0.00,#DIV/0!,,
Texas,2015,Funeral,,,,,,,,,"4,494,012.49",
Texas,2014,Anderson,29,,6,,,18,"$199,128.84","$11,062.71",,
Texas,2014,Andrews,13,,1,,,11,"$94,965.75","$8,633.25",,
Texas,2014,Angelina,62,,12,,,46,"$127,892.52","$2,780.27",,
Texas,2014,Aransas,18,,4,,,13,"$33,828.13","$2,602.16",,
Texas,2014,Archer,1,,0,,,0,"$1,170.93",#DIV/0!,,
Texas,2014,Armstrong,3,,2,,,0,$0.00,#DIV/0!,,
Texas,2014,Atascosa,40,,9,,,23,"$65,481.04","$2,847.00",,
Texas,2014,Austin,24,,4,,,19,"$7,650.36",$402.65,,
Texas,2014,Bailey,1,,0,,,1,"$4,775.62","$4,775.62",,
Texas,2014,Bandera,7,,2,,,5,"$34,021.36","$6,804.27",,
Texas,2014,Bastrop,46,,10,,,39,"$235,456.09","$6,037.34",,
Texas,2014,Baylor,1,,0,,,0,$0.00,#DIV/0!,,
Texas,2014,Bee,13,,5,,,12,"$27,833.01","$2,319.42",,
Texas,2014,Bell,453,,76,,,323,"$941,982.92","$2,916.36",,
Texas,2014,Bexar,"1,874",,696,,,"1,060","$4,248,288.06","$4,007.82",,
Texas,2014,Blanco,7,,1,,,8,"$5,995.56",$749.45,,
Texas,2014,Borden,0,,0,,,0,$477.08,#DIV/0!,,
Texas,2014,Bosque,6,,0,,,6,"$10,586.10","$1,764.35",,
Texas,2014,Bowie,48,,15,,,31,"$249,251.45","$8,040.37",,
Texas,2014,Brazoria,217,,36,,,158,"$421,231.28","$2,666.02",,
Texas,2014,Brazos,159,,42,,,100,"$244,867.78","$2,448.68",,
Texas,2014,Brewster,5,,0,,,4,"$1,669.52",$417.38,,
Texas,2014,Briscoe,1,,0,,,0,$0.00,#DIV/0!,,
Texas,2014,Brooks,7,,2,,,6,"$48,189.53","$8,031.59",,
Texas,2014,Brown,13,,3,,,13,"$121,349.49","$9,334.58",,
Texas,2014,Burleson,9,,1,,,8,"$57,822.42","$7,227.80",,
Texas,2014,Burnet,40,,13,,,25,"$93,981.70","$3,759.27",,
Texas,2014,Caldwell,35,,8,,,25,"$204,825.76","$8,193.03",,
Texas,2014,Calhoun,13,,1,,,8,"$12,885.06","$1,610.63",,
Texas,2014,Callahan,1,,0,,,1,"$6,785.68","$6,785.68",,
Texas,2014,Cameron,375,,87,,,270,"$803,646.67","$2,976.47",,
Texas,2014,Camp,14,,3,,,8,"$41,122.06","$5,140.26",,
Texas,2014,Carson,7,,2,,,1,"$11,198.13","$11,198.13",,
Texas,2014,Cass,34,,6,,,27,"$86,309.17","$3,196.64",,
Texas,2014,Castro,3,,2,,,2,"$10,510.97","$5,255.49",,
Texas,2014,Chambers,26,,4,,,23,"$20,058.34",$872.10,,
Texas,2014,Cherokee,19,,4,,,16,"$33,429.50","$2,089.34",,
Texas,2014,Childress,9,,0,,,8,"$1,011.06",$126.38,,
Texas,2014,Clay,4,,0,,,2,$0.00,$0.00,,
Texas,2014,Cochran,1,,0,,,1,$0.00,$0.00,,
Texas,2014,Coke,1,,1,,,0,$0.00,#DIV/0!,,
Texas,2014,Coleman,3,,1,,,1,$0.00,$0.00,,
Texas,2014,Collin,349,,64,,,253,"$698,735.87","$2,761.80",,
Texas,2014,Collingsworth,2,,2,,,0,$566.54,#DIV/0!,,
Texas,2014,Colorado,14,,1,,,13,"$40,324.22","$3,101.86",,
Texas,2014,Comal,53,,8,,,38,"$118,248.27","$3,111.80",,
Texas,2014,Comanche,2,,0,,,0,"$2,583.88",#DIV/0!,,
Texas,2014,Concho,1,,0,,,1,"$11,970.56","$11,970.56",,
Texas,2014,Cooke,37,,7,,,27,"$177,751.92","$6,583.40",,
